"state","solution_level","total_fw_kg_per_capita","likely_fw_baseline_low_kg_per_capita","likely_fw_baseline_high_kg_per_capita","likely_fw_alternative_low_kg_per_capita","likely_fw_alternative_high_kg_per_capita","likely_fw_baseline_mean_kg_per_capita","likely_fw_alternative_mean_kg_per_capita"
"AL","Prevention",164.126892524382,0.171003193264051,0.342006386528102,0.403163447198882,0.806326894397765,0.256504789896076,0.604745170798324
"AK","Prevention",147.908181520632,0.921676181704729,1.84335236340946,2.22091417237381,4.44182834474763,1.38251427255709,3.33137125856072
"AZ","Prevention",464.913100434049,2.87859957625679,5.75719915251358,6.85962209069638,13.7192441813928,4.31789936438518,10.2894331360446
"AR","Prevention",77.5110587588388,0.586266757796061,1.17253351559212,1.27087593156933,2.54175186313867,0.879400136694092,1.906313897354
"CA","Prevention",133.734612950783,0.790868647808782,1.58173729561756,1.85114335114675,3.70228670229349,1.18630297171317,2.77671502672012
"CO","Prevention",199.263336257828,0.204058698018305,0.408117396036611,0.48337600948762,0.966752018975241,0.306088047027458,0.725064014231431
"CT","Prevention",160.824023989477,0.97432615411153,1.94865230822306,2.36906724322143,4.73813448644285,1.46148923116729,3.55360086483214
"DE","Prevention",168.314762402852,1.06639623652096,2.13279247304192,2.52411802291938,5.04823604583875,1.59959435478144,3.78617703437906
"FL","Prevention",197.4061623324,0.192695952799793,0.385391905599586,0.467397570649804,0.934795141299607,0.28904392919969,0.701096355974705
"GA","Prevention",170.295851218654,0.176178072843195,0.352356145686389,0.40962836309253,0.819256726185059,0.264267109264792,0.614442544638794
"HI","Prevention",137.871701036914,0.100305636542526,0.200611273085052,0.254380904756887,0.508761809513775,0.150458454813789,0.381571357135331
"ID","Prevention",117.13695206137,0.773401818206549,1.5468036364131,1.74549868347328,3.49099736694657,1.16010272730982,2.61824802520992
"IL","Prevention",151.911065281006,0.177003679943788,0.354007359887576,0.387770221939181,0.775540443878362,0.265505519915682,0.581655332908771
"IN","Prevention",176.383768731863,1.25692594518389,2.51385189036778,2.79803420458623,5.59606840917245,1.88538891777584,4.19705130687934
"IA","Prevention",171.943144405627,1.62468691497639,3.24937382995279,3.17939405563914,6.35878811127827,2.43703037246459,4.7690910834587
"KS","Prevention",171.952909062627,1.25254946313161,2.50509892626321,2.72391851783744,5.44783703567489,1.87882419469741,4.08587777675617
"KY","Prevention",183.863286569116,0.207131591563634,0.414263183127267,0.47087867051729,0.941757341034581,0.310697387345451,0.706318005775936
"LA","Prevention",171.819444419577,0.202387268396474,0.404774536792948,0.453753126557244,0.907506253114488,0.303580902594711,0.680629689835866
"ME","Prevention",198.36456105782,1.31148131306033,2.62296262612066,3.11591919126099,6.23183838252198,1.9672219695905,4.67387878689149
"MD","Prevention",158.954195262658,0.155273173066195,0.31054634613239,0.37501160540999,0.75002321081998,0.232909759599293,0.562517408114985
"MA","Prevention",182.294102926263,0.184047329962773,0.368094659925545,0.441029457922699,0.882058915845397,0.276070994944159,0.661544186884048
"MI","Prevention",154.841484526464,0.173885592657791,0.347771185315583,0.398065813313419,0.796131626626838,0.260828388986687,0.597098719970129
"MN","Prevention",143.032600792904,1.05272238411436,2.10544476822873,2.26324734468783,4.52649468937566,1.57908357617155,3.39487101703175
"MS","Prevention",165.86454507383,1.08965820734802,2.17931641469604,2.51515316937656,5.03030633875313,1.63448731102203,3.77272975406484
"MO","Prevention",163.022906327793,1.14430320904362,2.28860641808724,2.52384157373226,5.04768314746453,1.71645481356543,3.78576236059839
"MT","Prevention",123.701361527697,0.125667518404228,0.251335036808456,0.291453198440243,0.582906396880486,0.188501277606342,0.437179797660364
"NE","Prevention",165.607884552066,1.3775460049316,2.75509200986319,2.80039937588615,5.6007987517723,2.06631900739739,4.20059906382922
"NV","Prevention",202.78665460702,0.181591686425662,0.363183372851325,0.421149852021125,0.84229970404225,0.272387529638494,0.631724778031688
"NH","Prevention",243.964308905246,0.269196160787354,0.538392321574707,0.637188990565541,1.27437798113108,0.40379424118103,0.955783485848311
"NJ","Prevention",149.521944590418,0.153781978927166,0.307563957854331,0.363037143355919,0.726074286711839,0.230672968390748,0.544555715033879
"NM","Prevention",180.329653796107,0.187093749272125,0.37418749854425,0.440799893144526,0.881599786289052,0.280640623908188,0.661199839716789
"NY","Prevention",113.771399003,0.230918114868052,0.461836229736104,0.541720210723976,1.08344042144795,0.346377172302078,0.812580316085965
"NC","Prevention",179.004175521484,1.1700102071883,2.34002041437659,2.70756242250513,5.41512484501026,1.75501531078245,4.0613436337577
"ND","Prevention",167.502927065277,1.4543840497651,2.9087680995302,2.88541509490049,5.77083018980098,2.18157607464765,4.32812264235073
"OH","Prevention",168.034297031321,1.10862070051364,2.21724140102728,2.51059922853528,5.02119845707056,1.66293105077046,3.76589884280292
"OK","Prevention",161.797076877266,1.05365369456316,2.10730738912632,2.37960364520486,4.75920729040972,1.58048054184474,3.56940546780729
"OR","Prevention",134.497386372622,0.144154495139485,0.28830899027897,0.335270675175413,0.670541350350826,0.216231742709227,0.50290601276312
"PA","Prevention",153.420017585456,0.162447972922215,0.324895945844429,0.37937440308214,0.758748806164281,0.243671959383322,0.569061604623211
"RI","Prevention",141.664352846524,0.143603908328259,0.287207816656518,0.342947053017804,0.685894106035608,0.215405862492389,0.514420579526706
"SC","Prevention",176.776918740949,1.13352932619722,2.26705865239443,2.65062952095645,5.3012590419129,1.70029398929582,3.97594428143467
"SD","Prevention",162.09247021231,0.371562126251891,0.743124252503781,0.835514290003341,1.67102858000668,0.557343189377836,1.25327143500501
"TN","Prevention",181.701806162382,0.200895086243194,0.401790172486389,0.45563713827544,0.911274276550879,0.301342629364792,0.68345570741316
"TX","Prevention",134.529397017561,0.813508572540245,1.62701714508049,1.8222933618908,3.64458672378159,1.22026285881037,2.7334400428362
"UT","Prevention",135.901126382788,0.889965390068327,1.77993078013665,2.00190495331342,4.00380990662683,1.33494808510249,3.00285742997012
"VT","Prevention",147.350845432453,0.164259251314399,0.328518502628797,0.379075745017108,0.758151490034216,0.246388876971598,0.568613617525662
"VA","Prevention",189.558001619976,0.190374062762657,0.380748125525314,0.451811567251525,0.903623134503051,0.285561094143985,0.677717350877288
"WA","Prevention",132.755153969902,0.137640712155844,0.275281424311688,0.32740722125584,0.654814442511681,0.206461068233766,0.491110831883761
"WV","Prevention",171.038999391408,1.10674810982331,2.21349621964661,2.60295990277869,5.20591980555737,1.66012216473496,3.90443985416803
"WI","Prevention",141.351917637506,0.164068051646285,0.32813610329257,0.367663627978873,0.735327255957746,0.246102077469428,0.551495441968309
"WY","Prevention",188.488208038034,1.20521593449304,2.41043186898609,2.84078116770414,5.68156233540828,1.80782390173956,4.26117175155621
"AL","Rescue",164.126892524382,0.884794105451476,1.76958821090295,1.32519671906231,2.65039343812462,1.32719115817721,1.98779507859346
"AK","Rescue",147.908181520632,0.92670019368565,1.8534003873713,1.30617707795982,2.61235415591964,1.39005029052847,1.95926561693973
"AZ","Rescue",464.913100434049,9.1491028224135,18.298205644827,15.2450563050625,30.4901126101249,13.7236542336203,22.8675844575937
"AR","Rescue",77.5110587588388,0.440741426349234,0.881482852698467,0.683989366908373,1.36797873381675,0.66111213952385,1.02598405036256
"CA","Rescue",133.734612950783,7.24275108140121,14.4855021628024,12.4695426577676,24.9390853155352,10.8641266221018,18.7043139866514
"CO","Rescue",199.263336257828,1.09931647967115,2.19863295934229,1.64487089810042,3.28974179620084,1.64897471950672,2.46730634715063
"CT","Rescue",160.824023989477,0.740442765610328,1.48088553122066,1.02339958630055,2.04679917260111,1.11066414841549,1.53509937945083
"DE","Rescue",168.314762402852,1.26228180001002,2.52456360002003,2.0032038292943,4.0064076585886,1.89342270001502,3.00480574394145
"FL","Rescue",197.4061623324,1.30272724259249,2.60545448518498,2.00840766949595,4.01681533899191,1.95409086388873,3.01261150424393
"GA","Rescue",170.295851218654,1.3734107828084,2.7468215656168,2.20374085313459,4.40748170626918,2.0601161742126,3.30561127970189
"HI","Rescue",137.871701036914,1.0174188030275,2.03483760605501,1.46152765968695,2.92305531937389,1.52612820454126,2.19229148953042
"ID","Rescue",117.13695206137,3.95506156987478,7.91012313974956,7.32308347094144,14.6461669418829,5.93259235481217,10.9846252064122
"IL","Rescue",151.911065281006,0.907443094990221,1.81488618998044,1.38525200852541,2.77050401705082,1.36116464248533,2.07787801278812
"IN","Rescue",176.383768731863,1.05755244283237,2.11510488566475,1.62305099025367,3.24610198050735,1.58632866424856,2.43457648538051
"IA","Rescue",171.943144405627,1.45170425036064,2.90340850072129,2.34705988156929,4.69411976313858,2.17755637554097,3.52058982235394
"KS","Rescue",171.952909062627,0.861345432892089,1.72269086578418,1.28769504827435,2.5753900965487,1.29201814933813,1.93154257241152
"KY","Rescue",183.863286569116,1.21126830300146,2.42253660600291,1.72439243747969,3.44878487495939,1.81690245450218,2.58658865621954
"LA","Rescue",171.819444419577,0.896052626001772,1.79210525200354,1.34372946383665,2.6874589276733,1.34407893900266,2.01559419575497
"ME","Rescue",198.36456105782,1.70790021607042,3.41580043214085,2.81203854108883,5.62407708217766,2.56185032410563,4.21805781163325
"MD","Rescue",158.954195262658,1.23416973858631,2.46833947717263,1.78601595464867,3.57203190929735,1.85125460787947,2.67902393197301
"MA","Rescue",182.294102926263,1.45715575365305,2.9143115073061,2.10752055725945,4.2150411145189,2.18573363047958,3.16128083588918
"MI","Rescue",154.841484526464,1.59231605274278,3.18463210548556,2.61728231964579,5.23456463929158,2.38847407911417,3.92592347946869
"MN","Rescue",143.032600792904,0.99953993480864,1.99907986961728,1.61643707703303,3.23287415406606,1.49930990221296,2.42465561554954
"MS","Rescue",165.86454507383,1.18043320474705,2.3608664094941,1.86394910583979,3.72789821167957,1.77064980712058,2.79592365875968
"MO","Rescue",163.022906327793,1.29369268468387,2.58738536936774,1.94770725543566,3.89541451087131,1.9405390270258,2.92156088315348
"MT","Rescue",123.701361527697,0.718123511719554,1.43624702343911,1.09030230885492,2.18060461770984,1.07718526757933,1.63545346328238
"NE","Rescue",165.607884552066,1.74789650676754,3.49579301353508,2.85786003915931,5.71572007831861,2.62184476015131,4.28679005873896
"NV","Rescue",202.78665460702,0.887490022248607,1.77498004449721,1.24028315484937,2.48056630969874,1.33123503337291,1.86042473227406
"NH","Rescue",243.964308905246,0.959627996748926,1.91925599349785,1.29295398887281,2.58590797774562,1.43944199512339,1.93943098330922
"NJ","Rescue",149.521944590418,1.26265872745724,2.52531745491448,1.87178921297097,3.74357842594194,1.89398809118586,2.80768381945645
"NM","Rescue",180.329653796107,0.901485474452337,1.80297094890467,1.32538913582976,2.65077827165951,1.35222821167851,1.98808370374463
"NY","Rescue",113.771399003,1.40330831345684,2.80661662691367,2.21194745340616,4.42389490681232,2.10496247018525,3.31792118010924
"NC","Rescue",179.004175521484,1.54101863908442,3.08203727816885,2.48146201203508,4.96292402407016,2.31152795862664,3.72219301805262
"ND","Rescue",167.502927065277,2.36056973425463,4.72113946850927,4.22463984831526,8.44927969663053,3.54085460138195,6.33695977247289
"OH","Rescue",168.034297031321,1.29525386325773,2.59050772651547,1.90633583463717,3.81267166927434,1.9428807948866,2.85950375195576
"OK","Rescue",161.797076877266,0.893417579577591,1.78683515915518,1.33316177575203,2.66632355150406,1.34012636936639,1.99974266362804
"OR","Rescue",134.497386372622,3.64236402357047,7.28472804714093,6.19986800466542,12.3997360093308,5.4635460353557,9.29980200699812
"PA","Rescue",153.420017585456,1.35344401316153,2.70688802632306,2.0616021320587,4.1232042641174,2.0301660197423,3.09240319808805
"RI","Rescue",141.664352846524,1.01835172829271,2.03670345658542,1.41808887467702,2.83617774935405,1.52752759243907,2.12713331201554
"SC","Rescue",176.776918740949,1.47273157595415,2.94546315190831,2.20151934569147,4.40303869138293,2.20909736393123,3.3022790185372
"SD","Rescue",162.09247021231,0.722387176630865,1.44477435326173,1.04185883398987,2.08371766797974,1.0835807649463,1.56278825098481
"TN","Rescue",181.701806162382,1.22805919007198,2.45611838014397,1.75834896972157,3.51669793944313,1.84208878510798,2.63752345458235
"TX","Rescue",134.529397017561,0.770724825138434,1.54144965027687,1.14141470235144,2.28282940470287,1.15608723770765,1.71212205352715
"UT","Rescue",135.901126382788,0.707350294640026,1.41470058928005,1.03808572040878,2.07617144081756,1.06102544196004,1.55712858061317
"VT","Rescue",147.350845432453,0.837176592638441,1.67435318527688,1.2789678812915,2.55793576258299,1.25576488895766,1.91845182193724
"VA","Rescue",189.558001619976,1.83059524131102,3.66119048262205,2.63515458291986,5.27030916583973,2.74589286196654,3.9527318743798
"WA","Rescue",132.755153969902,8.74778538302954,17.4955707660591,15.5153193986233,31.0306387972467,13.1216780745443,23.272979097935
"WV","Rescue",171.038999391408,1.30080199879194,2.60160399758387,1.89622222305279,3.79244444610558,1.95120299818791,2.84433333457919
"WI","Rescue",141.351917637506,1.56819125686058,3.13638251372117,2.67213188831096,5.34426377662193,2.35228688529087,4.00819783246645
"WY","Rescue",188.488208038034,0.72980565560622,1.45961131121244,0.978583760207162,1.95716752041432,1.09470848340933,1.46787564031074
"AL","Repurpose",164.126892524382,0.241271952312745,0.482543904625489,0.235074795653476,0.470149591306952,0.361907928469117,0.352612193480214
"AK","Repurpose",147.908181520632,0.213273426632706,0.426546853265411,0.20898243860238,0.417964877204761,0.319910139949058,0.313473657903571
"AZ","Repurpose",464.913100434049,4.92592736228809,9.85185472457617,4.71788990400678,9.43577980801356,7.38889104343213,7.07683485601017
"AR","Repurpose",77.5110587588388,0.298636543208586,0.597273086417173,0.293202103194649,0.586404206389298,0.44795481481288,0.439803154791973
"CA","Repurpose",133.734612950783,3.63525327507858,7.27050655015716,3.52155095440725,7.0431019088145,5.45287991261787,5.28232643161088
"CO","Repurpose",199.263336257828,1.89074609622982,3.78149219245963,1.83561326420652,3.67122652841303,2.83611914434472,2.75341989630977
"CT","Repurpose",160.824023989477,1.16373537342097,2.32747074684195,1.13969660518765,2.27939321037531,1.74560306013146,1.70954490778148
"DE","Repurpose",168.314762402852,0.303196287541634,0.606392575083268,0.294269824663981,0.588539649327963,0.454794431312451,0.441404736995972
"FL","Repurpose",197.4061623324,2.54153444331614,5.08306888663227,2.4962686224918,4.99253724498361,3.81230166497421,3.74440293373771
"GA","Repurpose",170.295851218654,0.36825434651601,0.73650869303202,0.358209367652831,0.716418735305661,0.552381519774015,0.537314051479246
"HI","Repurpose",137.871701036914,1.35799641152767,2.71599282305533,1.32706939247609,2.65413878495219,2.0369946172915,1.99060408871414
"ID","Repurpose",117.13695206137,1.93961797475443,3.87923594950885,1.88252547599731,3.76505095199463,2.90942696213164,2.82378821399597
"IL","Repurpose",151.911065281006,0.676751619389261,1.35350323877852,0.665367691507719,1.33073538301544,1.01512742908389,0.998051537261579
"IN","Repurpose",176.383768731863,3.13545570923361,6.27091141846722,3.07243020573729,6.14486041147458,4.70318356385042,4.60864530860593
"IA","Repurpose",171.943144405627,5.98909783065674,11.9781956613135,5.89844761364555,11.7968952272911,8.9836467459851,8.84767142046832
"KS","Repurpose",171.952909062627,0.540358506934273,1.08071701386855,0.528500440892191,1.05700088178438,0.810537760401409,0.792750661338287
"KY","Repurpose",183.863286569116,0.386442361955517,0.772884723911035,0.378930262351157,0.757860524702314,0.579663542933276,0.568395393526736
"LA","Repurpose",171.819444419577,1.68136080520277,3.36272161040553,1.67212072173542,3.34424144347083,2.52204120780415,2.50818108260313
"ME","Repurpose",198.36456105782,2.23558610501971,4.47117221003941,2.14128330290073,4.28256660580146,3.35337915752956,3.2119249543511
"MD","Repurpose",158.954195262658,1.18193807651314,2.36387615302628,1.14973291041663,2.29946582083327,1.77290711476971,1.72459936562495
"MA","Repurpose",182.294102926263,0.240806580422743,0.481613160845486,0.234595341471409,0.469190682942818,0.361209870634114,0.351893012207114
"MI","Repurpose",154.841484526464,3.21714585909592,6.43429171819183,3.14245460784904,6.28490921569809,4.82571878864387,4.71368191177357
"MN","Repurpose",143.032600792904,6.11585001593932,12.2317000318786,6.05484614450908,12.1096922890182,9.17377502390897,9.08226921676362
"MS","Repurpose",165.86454507383,0.318776005835091,0.637552011670182,0.310137905282194,0.620275810564387,0.478164008752636,0.46520685792329
"MO","Repurpose",163.022906327793,3.16107629898962,6.32215259797924,3.11845598702629,6.23691197405259,4.74161444848443,4.67768398053944
"MT","Repurpose",123.701361527697,0.218023305600084,0.436046611200169,0.21151935985562,0.423038719711239,0.327034958400127,0.317279039783429
"NE","Repurpose",165.607884552066,6.02540864553389,12.0508172910678,5.89998790129695,11.7999758025939,9.03811296830084,8.84998185194543
"NV","Repurpose",202.78665460702,1.4429790684607,2.8859581369214,1.4120359881184,2.82407197623681,2.16446860269105,2.11805398217761
"NH","Repurpose",243.964308905246,0.843703877353643,1.68740775470729,0.820383329858282,1.64076665971656,1.26555581603046,1.23057499478742
"NJ","Repurpose",149.521944590418,1.24893377319852,2.49786754639705,1.22322105014231,2.44644210028462,1.87340065979779,1.83483157521347
"NM","Repurpose",180.329653796107,3.56869782025075,7.1373956405015,3.52675109968018,7.05350219936035,5.35304673037612,5.29012664952026
"NY","Repurpose",113.771399003,3.67719486538994,7.35438973077988,3.60409006355252,7.20818012710504,5.51579229808491,5.40613509532878
"NC","Repurpose",179.004175521484,2.03487344900137,4.06974689800273,1.97019935573854,3.94039871147707,3.05231017350205,2.95529903360781
"ND","Repurpose",167.502927065277,3.09026464634795,6.1805292926959,3.04799688318837,6.09599376637674,4.63539696952192,4.57199532478255
"OH","Repurpose",168.034297031321,3.14240403976486,6.28480807952972,3.09015592817146,6.18031185634292,4.71360605964729,4.63523389225719
"OK","Repurpose",161.797076877266,0.336255766259204,0.672511532518409,0.328924444045164,0.657848888090328,0.504383649388807,0.493386666067746
"OR","Repurpose",134.497386372622,0.650277482019331,1.30055496403866,0.633081479437044,1.26616295887409,0.975416223028996,0.949622219155566
"PA","Repurpose",153.420017585456,2.46541869041054,4.93083738082107,2.41717611565449,4.83435223130898,3.6981280356158,3.62576417348174
"RI","Repurpose",141.664352846524,0.813111587481966,1.62622317496393,0.79460018084196,1.58920036168392,1.21966738122295,1.19190027126294
"SC","Repurpose",176.776918740949,0.262138903255933,0.524277806511865,0.256084144372864,0.512168288745728,0.393208354883899,0.384126216559296
"SD","Repurpose",162.09247021231,10.4050930975414,20.8101861950828,10.3268955740368,20.6537911480737,15.6076396463121,15.4903433610553
"TN","Repurpose",181.701806162382,2.09641756097019,4.19283512194039,2.06536553623603,4.13073107247205,3.14462634145529,3.09804830435404
"TX","Repurpose",134.529397017561,0.373106996284513,0.746213992569025,0.366632145214066,0.733264290428132,0.559660494426769,0.549948217821099
"UT","Repurpose",135.901126382788,6.59798121859989,13.1959624371998,6.52713328474621,13.0542665694924,9.89697182789983,9.79069992711932
"VT","Repurpose",147.350845432453,0.892075274314056,1.78415054862811,0.881830495449446,1.76366099089889,1.33811291147108,1.32274574317417
"VA","Repurpose",189.558001619976,1.06556196270645,2.1311239254129,1.0405185255583,2.08103705111659,1.59834294405967,1.56077778833744
