state,solution_level,total_fw_2022,population_2022,factor_low,factor_high
AL,Prevention,918036,5074296,0.05,0.1
AL,Rescue,918036,5074296,0.2,0.4
AL,Animal Feed,918036,5074296,0.05,0.1
AL,Recycling,918036,5074296,0.1,0.2
AK,Prevention,119604,733583,0.3,0.6
AK,Rescue,119604,733583,0.3,0.6
AK,Animal Feed,119604,733583,0.05,0.1
AK,Recycling,119604,733583,0.1,0.2
AR,Prevention,628779,7359197,0.3,0.6
AR,Rescue,628779,7359197,0.2,0.4
AR,Animal Feed,628779,7359197,0.05,0.1
AR,Recycling,628779,7359197,0.1,0.2
AZ,Prevention,1560824,3045637,0.3,0.6
AZ,Rescue,1560824,3045637,0.3,0.6
AZ,Animal Feed,1560824,3045637,0.3,0.6
AZ,Recycling,1560824,3045637,0.1,0.2
CA,Prevention,5753594,39029342,0.3,0.6
CA,Rescue,5753594,39029342,0.5,1
CA,Animal Feed,5753594,39029342,0.3,0.6
CA,Recycling,5753594,39029342,0.5,1
CO,Prevention,1282741,5839926,0.05,0.1
CO,Rescue,1282741,5839926,0.2,0.4
CO,Animal Feed,1282741,5839926,0.3,0.6
CO,Recycling,1282741,5839926,0.1,0.2
CT,Prevention,642847,3626205,0.3,0.6
CT,Rescue,642847,3626205,0.2,0.4
CT,Animal Feed,642847,3626205,0.3,0.6
CT,Recycling,642847,3626205,0.3,0.6
DE,Prevention,188948,1018396,0.3,0.6
DE,Rescue,188948,1018396,0.2,0.4
DE,Animal Feed,188948,1018396,0.05,0.1
DE,Recycling,188948,1018396,0.1,0.2
FL,Prevention,4840540,22244823,0.05,0.1
FL,Rescue,4840540,22244823,0.2,0.4
FL,Animal Feed,4840540,22244823,0.3,0.6
FL,Recycling,4840540,22244823,0.1,0.2
GA,Prevention,2048554,10912876,0.05,0.1
GA,Rescue,2048554,10912876,0.2,0.4
GA,Animal Feed,2048554,10912876,0.05,0.1
GA,Recycling,2048554,10912876,0.1,0.2
HI,Prevention,218877,1440196,0.05,0.1
HI,Rescue,218877,1440196,0.3,0.6
HI,Animal Feed,218877,1440196,0.3,0.6
HI,Recycling,218877,1440196,0.1,0.2
ID,Prevention,250371,1939033,0.3,0.6
ID,Rescue,250371,1939033,0.2,0.4
ID,Animal Feed,250371,1939033,0.05,0.1
ID,Recycling,250371,1939033,0.1,0.2
IL,Prevention,2106902,12582032,0.05,0.1
IL,Rescue,2106902,12582032,0.2,0.4
IL,Animal Feed,2106902,12582032,0.05,0.1
IL,Recycling,2106902,12582032,0.1,0.2
IN,Prevention,1328546,6833037,0.3,0.6
IN,Rescue,1328546,6833037,0.2,0.4
IN,Animal Feed,1328546,6833037,0.3,0.6
IN,Recycling,1328546,6833037,0.1,0.2
IA,Prevention,606609,3200517,0.3,0.6
IA,Rescue,606609,3200517,0.3,0.6
IA,Animal Feed,606609,3200517,0.2,0.4
IA,Recycling,606609,3200517,0.1,0.2
KS,Prevention,556724,2937150,0.3,0.6
KS,Rescue,556724,2937150,0.2,0.4
KS,Animal Feed,556724,2937150,0.05,0.1
KS,Recycling,556724,2937150,0.1,0.2
KY,Prevention,914530,4512310,0.05,0.1
KY,Rescue,914530,4512310,0.3,0.6
KY,Animal Feed,914530,4512310,0.05,0.1
KY,Recycling,914530,4512310,0.1,0.2
LA,Prevention,869385,4590241,0.05,0.1
LA,Rescue,869385,4590241,0.2,0.4
LA,Animal Feed,869385,4590241,0.05,0.1
LA,Recycling,869385,4590241,0.1,0.2
ME,Prevention,302918,1385340,0.3,0.6
ME,Rescue,302918,1385340,0.2,0.4
ME,Animal Feed,302918,1385340,0.3,0.6
ME,Recycling,302918,1385340,0.1,0.2
MD,Prevention,1080153,6164660,0.05,0.1
MD,Rescue,1080153,6164660,0.3,0.6
MD,Animal Feed,1080153,6164660,0.3,0.6
MD,Recycling,1080153,6164660,0.2,0.4
MA,Prevention,1402991,6981974,0.05,0.1
MA,Rescue,1402991,6981974,0.3,0.6
MA,Animal Feed,1402991,6981974,0.05,0.1
MA,Recycling,1402991,6981974,0.3,0.6
MI,Prevention,1712657,10034113,0.05,0.1
MI,Rescue,1712657,10034113,0.2,0.4
MI,Animal Feed,1712657,10034113,0.3,0.6
MI,Recycling,1712657,10034113,0.1,0.2
MN,Prevention,901408,5717184,0.3,0.6
MN,Rescue,901408,5717184,0.2,0.4
MN,Animal Feed,901408,5717184,0.2,0.4
MN,Recycling,901408,5717184,0.1,0.2
MS,Prevention,537543,2940057,0.3,0.6
MS,Rescue,537543,2940057,0.2,0.4
MS,Animal Feed,537543,2940057,0.05,0.1
MS,Recycling,537543,2940057,0.1,0.2
MO,Prevention,1110191,6177957,0.3,0.6
MO,Rescue,1110191,6177957,0.3,0.6
MO,Animal Feed,1110191,6177957,0.2,0.4
MO,Recycling,1110191,6177957,0.1,0.2
MT,Prevention,153111,1122867,0.05,0.1
MT,Rescue,153111,1122867,0.2,0.4
MT,Animal Feed,153111,1122867,0.05,0.1
MT,Recycling,153111,1122867,0.1,0.2
NE,Prevention,359247,1967923,0.3,0.6
NE,Rescue,359247,1967923,0.3,0.6
NE,Animal Feed,359247,1967923,0.3,0.6
NE,Recycling,359247,1967923,0.1,0.2
NV,Prevention,710340,3177772,0.05,0.1
NV,Rescue,710340,3177772,0.2,0.4
NV,Animal Feed,710340,3177772,0.3,0.6
NV,Recycling,710340,3177772,0.1,0.2
NH,Prevention,375212,1395231,0.05,0.1
NH,Rescue,375212,1395231,0.2,0.4
NH,Animal Feed,375212,1395231,0.3,0.6
NH,Recycling,375212,1395231,0.2,0.4
NJ,Prevention,1526510,9261699,0.05,0.1
NJ,Rescue,1526510,9261699,0.3,0.6
NJ,Animal Feed,1526510,9261699,0.2,0.4
NJ,Recycling,1526510,9261699,0.2,0.4
NM,Prevention,420089,2113344,0.05,0.1
NM,Rescue,420089,2113344,0.2,0.4
NM,Animal Feed,420089,2113344,0.3,0.6
NM,Recycling,420089,2113344,0.1,0.2
NY,Prevention,2467740,19677151,0.1,0.2
NY,Rescue,2467740,19677151,0.3,0.6
NY,Animal Feed,2467740,19677151,0.5,1
NY,Recycling,2467740,19677151,0.2,0.4
NC,Prevention,2111103,10698973,0.3,0.6
NC,Rescue,2111103,10698973,0.2,0.4
NC,Animal Feed,2111103,10698973,0.3,0.6
NC,Recycling,2111103,10698973,0.1,0.2
ND,Prevention,143883,779261,0.3,0.6
ND,Rescue,143883,779261,0.2,0.4
ND,Animal Feed,143883,779261,0.05,0.1
ND,Recycling,143883,779261,0.1,0.2
OH,Prevention,2177528,11756058,0.3,0.6
OH,Rescue,2177528,11756058,0.3,0.6
OH,Animal Feed,2177528,11756058,0.3,0.6
OH,Recycling,2177528,11756058,0.1,0.2
OK,Prevention,716934,4019800,0.3,0.6
OK,Rescue,716934,4019800,0.2,0.4
OK,Animal Feed,716934,4019800,0.05,0.1
OK,Recycling,716934,4019800,0.1,0.2
OR,Prevention,628634,4240137,0.05,0.1
OR,Rescue,628634,4240137,0.4,0.8
OR,Animal Feed,628634,4240137,0.05,0.1
OR,Recycling,628634,4240137,0.1,0.2
PA,Prevention,2193782,12972008,0.05,0.1
PA,Rescue,2193782,12972008,0.3,0.6
PA,Animal Feed,2193782,12972008,0.3,0.6
PA,Recycling,2193782,12972008,0.1,0.2
RI,Prevention,170796,1093734,0.05,0.1
RI,Rescue,170796,1093734,0.3,0.6
RI,Animal Feed,170796,1093734,0.2,0.4
RI,Recycling,170796,1093734,0.2,0.4
SC,Prevention,1029391,5282634,0.3,0.6
SC,Rescue,1029391,5282634,0.3,0.6
SC,Animal Feed,1029391,5282634,0.05,0.1
SC,Recycling,1029391,5282634,0.1,0.2
SD,Prevention,162564,909824,0.1,0.2
SD,Rescue,162564,909824,0.2,0.4
SD,Animal Feed,162564,909824,0.5,1
SD,Recycling,162564,909824,0.1,0.2
TN,Prevention,1412326,7051339,0.05,0.1
TN,Rescue,1412326,7051339,0.3,0.6
TN,Animal Feed,1412326,7051339,0.2,0.4
TN,Recycling,1412326,7051339,0.2,0.4
TX,Prevention,4453182,30029572,0.3,0.6
TX,Rescue,4453182,30029572,0.2,0.4
TX,Animal Feed,4453182,30029572,0.05,0.1
TX,Recycling,4453182,30029572,0.1,0.2
UT,Prevention,506462,3380800,0.3,0.6
UT,Rescue,506462,3380800,0.2,0.4
UT,Animal Feed,506462,3380800,0.5,1
UT,Recycling,506462,3380800,0.1,0.2
VT,Prevention,105100,647064,0.05,0.1
VT,Rescue,105100,647064,0.2,0.4
VT,Animal Feed,105100,647064,0.05,0.1
VT,Recycling,105100,647064,0.5,1
VA,Prevention,1814458,8683619,0.05,0.1
VA,Rescue,1814458,8683619,0.4,0.8
VA,Animal Feed,1814458,8683619,0.2,0.4
VA,Recycling,1814458,8683619,0.1,0.2
WA,Prevention,1139352,7785786,0.05,0.1
WA,Rescue,1139352,7785786,0.4,0.8
WA,Animal Feed,1139352,7785786,0.2,0.4
WA,Recycling,1139352,7785786,0.1,0.2
WV,Prevention,334685,1775156,0.3,0.6
WV,Rescue,334685,1775156,0.3,0.6
WV,Animal Feed,334685,1775156,0.2,0.4
WV,Recycling,334685,1775156,0.1,0.2
WI,Prevention,918139,5892539,0.05,0.1
WI,Rescue,918139,5892539,0.2,0.4
WI,Animal Feed,918139,5892539,0.05,0.1
WI,Recycling,918139,5892539,0.1,0.2
WY,Prevention,120795,581381,0.3,0.6
WY,Rescue,120795,581381,0.2,0.4
WY,Animal Feed,120795,581381,0.2,0.4
WY,Recycling,120795,581381,0.1,0.2